# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
1375.0 2 140.252 168.027 64.649 20.615 0.0001194 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1380.0 2 139.095 173.768 66.585 21.198 8.446e-05 9.143e-06 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1385.0 2 137.885 179.561 67.543 22.759 -nan(ind) 0 3.157e-05 4.809e+10 7.725e+08 2.443e+10 -2.595e+08 -1.637e+07 -1.379e+08 35.6
1390.0 2 136.892 185.134 67.547 25.275 0.0001194 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1395.0 2 136.372 190.233 66.694 28.648 -nan(ind) 1.493e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1400.0 2 136.544 194.639 65.148 32.714 0 1.829e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1405.0 2 137.572 198.188 63.127 37.255 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1410.0 2 139.554 200.782 60.887 42.017 -nan(ind) 1.493e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1415.0 2 142.512 202.398 58.698 46.726 -nan(ind) 2.111e-05 0 inf inf inf -inf -inf -inf 35.6
1420.0 2 146.395 203.089 56.828 51.116 0.0001194 -nan(ind) 4.223e-05 4.602e+10 2.915e+09 2.447e+10 -1.623e+08 -3.303e+07 -9.764e+07 35.6
1425.0 2 151.078 202.979 55.520 54.945 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1430.0 2 156.375 202.253 54.973 58.013 8.446e-05 2.111e-05 3.93e-05 4.905e+10 4.036e+09 2.654e+10 -1.599e+08 -3.544e+07 -9.769e+07 35.6
1435.0 2 162.054 201.145 55.326 60.180 0 -nan(ind) 3.305e-05 5.77e+10 5.165e+09 3.143e+10 -1.858e+08 -3.997e+07 -1.129e+08 35.6
1440.0 2 167.851 199.918 56.649 61.377 8.446e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1445.0 2 173.494 198.845 58.937 61.609 0 0 3.551e-05 5.248e+10 5.038e+09 2.876e+10 -1.746e+08 -3.085e+07 -1.027e+08 35.6
1450.0 2 178.723 198.184 62.111 60.954 -nan(ind) 1.829e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1455.0 2 183.310 198.164 66.023 59.562 0.0001889 1.493e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1460.0 2 187.078 198.964 70.466 57.638 0.0001194 -nan(ind) 0 inf inf inf -inf -inf -inf 35.6
1465.0 2 189.911 200.698 75.195 55.427 -nan(ind) 2.111e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1470.0 2 191.766 203.409 79.941 53.199 0.0001194 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1475.0 2 192.677 207.063 84.435 51.223 0.0001689 2.586e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1480.0 2 192.750 211.555 88.425 49.750 0.0001194 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1485.0 2 192.156 216.713 91.700 48.991 -nan(ind) -nan(ind) 0 inf inf inf -inf -inf -inf 35.6
1490.0 2 191.118 222.315 94.105 49.102 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1495.0 2 189.894 228.104 95.552 50.171 0.0001689 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1500.0 2 188.753 233.807 96.026 52.211 -nan(ind) 1.493e-05 5.022e-05 5.135e+10 2.56e+09 2.695e+10 -2.106e+08 -2.466e+07 -1.176e+08 35.6
1505.0 2 187.961 239.162 95.590 55.162 -nan(ind) -nan(ind) 6.315e-05 4.273e+10 2.273e+09 2.25e+10 -1.675e+08 -2.234e+07 -9.49e+07 35.6
1510.0 2 187.755 243.932 94.373 58.891 0.0002671 2.111e-05 8.446e-05 3.324e+10 1.937e+09 1.759e+10 -1.234e+08 -1.888e+07 -7.112e+07 35.6
1515.0 2 188.324 247.925 92.569 63.208 0.0002069 2.111e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1520.0 2 189.802 251.010 90.414 67.875 0 2.986e-05 5.172e-05 5.748e+10 4.203e+09 3.084e+10 -1.883e+08 -3.751e+07 -1.129e+08 35.6
1525.0 2 192.247 253.126 88.170 72.630 0.0001194 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1530.0 2 195.647 254.288 86.107 77.204 0.0001689 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1535.0 2 199.915 254.582 84.479 81.341 0 -nan(ind) 4.673e-05 6.545e+10 6.682e+09 3.607e+10 -1.794e+08 -4.627e+07 -1.128e+08 35.6
1540.0 2 204.897 254.161 83.508 84.821 0 4.223e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1545.0 2 210.385 253.234 83.363 87.473 0.0001194 0 0 inf inf inf -inf -inf -inf 35.6
1550.0 2 216.134 252.047 84.153 89.191 -nan(ind) -nan(ind) 5.558e-05 5.396e+10 6.757e+09 3.036e+10 -1.381e+08 -3.353e+07 -8.582e+07 35.6
1555.0 2 221.877 250.865 85.911 89.939 -nan(ind) -nan(ind) 6.315e-05 4.705e+10 6.047e+09 2.655e+10 -1.222e+08 -2.676e+07 -7.449e+07 35.6
1560.0 2 227.348 249.954 88.599 89.756 0.0001463 -nan(ind) 5.558e-05 5.307e+10 6.843e+09 2.996e+10 -1.423e+08 -2.722e+07 -8.474e+07 35.6
1565.0 2 232.304 249.560 92.108 88.752 -nan(ind) 0 5.172e-05 5.685e+10 7.19e+09 3.202e+10 -1.592e+08 -2.613e+07 -9.268e+07 35.6
1570.0 2 236.538 249.887 96.263 87.100 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1575.0 2 239.901 251.085 100.843 85.023 -nan(ind) 2.111e-05 5.776e-05 5.153e+10 5.909e+09 2.872e+10 -1.598e+08 -1.969e+07 -8.977e+07 35.6
