# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
765.0 1 -3.678 0.000 -4.112 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.045
770.0 1 -0.853 0.000 -7.091 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.045
775.0 1 3.016 0.000 -5.729 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.045
780.0 1 3.791 0.000 -1.842 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.045
785.0 1 0.775 0.000 0.918 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.045
790.0 1 -2.983 0.000 -0.690 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.045
795.0 1 -3.563 0.000 -4.603 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.045
800.0 1 -0.445 0.000 -7.224 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.045
805.0 1 3.213 0.000 -5.540 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.045
810.0 1 3.872 0.000 -1.591 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
815.0 1 0.615 0.000 0.786 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
820.0 1 -3.017 0.000 -0.689 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
825.0 1 -3.788 0.000 -4.644 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
830.0 1 -0.638 0.000 -7.087 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
835.0 1 3.167 0.000 -5.962 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
840.0 1 3.945 0.000 -2.070 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
845.0 1 1.232 0.000 0.665 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
850.0 1 -2.656 0.000 -0.063 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
855.0 1 -3.917 0.000 -3.767 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
860.0 1 -1.739 0.000 -7.042 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
865.0 1 2.152 0.000 -6.746 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
870.0 1 4.194 0.000 -3.571 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.046
875.0 1 2.743 0.000 -0.016 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.047
